Food_items;ID;Quantity;;;;;;;;;;;;;
Almond butter (500g);1;25;;;;;;;;;;;;;
Almonds (pack);2;5;;;;;;;;;;;;;
American cheese (250g);3;53;;;;;;;;;;;;;
Apple;4;63;;;;;;;;;;;;;
Asparagus;5;16;;;;;;;;;;;;;
Avocado;6;5;;;;;;;;;;;;;
Bacon strips (500g);7;6;;;;;;;;;;;;;
Bagels (Pack of 4);8;9;;;;;;;;;;;;;
Bananas;9;20;;;;;;;;;;;;;
Beans (can);10;3;;;;;;;;;;;;;
Beef (1kg);11;6;;;;;;;;;;;;;
Blueberries (pack);12;3;;;;;;;;;;;;;
Breadcrumbs (200g);13;52;;;;;;;;;;;;;
Brocolli;14;8;;;;;;;;;;;;;
Brown Rice (5kg);15;3;;;;;;;;;;;;;
Brownie (pack);16;8;;;;;;;;;;;;;
Butter (500g);17;9;;;;;;;;;;;;;
Caramel popcorn (1kg);18;11;;;;;;;;;;;;;
Carp Fish (5kg);19;86;;;;;;;;;;;;;
Cashew Nuts (pack);20;2;;;;;;;;;;;;;
Cauliflower;21;10;;;;;;;;;;;;;
Cereals-Corn Flakes (2kg);22;4;;;;;;;;;;;;;
Chappati (pack of 5);23;2;;;;;;;;;;;;;
Chia seeds (5kg);24;1;;;;;;;;;;;;;
Chipotle pepper (1kg);25;100;;;;;;;;;;;;;
Chocolate Doughnut;26;1;;;;;;;;;;;;;
Chocolate milk (2L);27;3;;;;;;;;;;;;;
Coffee (500g);28;2;;;;;;;;;;;;;
Cottage cheese (250g);29;22;;;;;;;;;;;;;
Cottonseeds (5kg);30;1;;;;;;;;;;;;;
Dal Makhani (300g);31;7;;;;;;;;;;;;;
Dark chocolates (200kg);32;20;;;;;;;;;;;;;
Dried Parsley (500g);33;3;;;;;;;;;;;;;
Eggs (Pack of 24);34;6;;;;;;;;;;;;;
Flour (2kg);35;15;;;;;;;;;;;;;
French Fries (1kg);36;5;;;;;;;;;;;;;
Fusilli Pasta (3kg);37;26;;;;;;;;;;;;;
Garlic (pack of 10);38;5;;;;;;;;;;;;;
Goat meat (1kg);39;7;;;;;;;;;;;;;
Grapes (pack);40;13;;;;;;;;;;;;;
Greek yogurt plain (500g);41;26;;;;;;;;;;;;;
Green Tea (Pack of 100);42;25;;;;;;;;;;;;;
Marshmallows (500g);43;11;;;;;;;;;;;;;
Milk (2L);44;10;;;;;;;;;;;;;
Minced beef (2kg);45;12;;;;;;;;;;;;;
Mineral water (5L);46;100;;;;;;;;;;;;;
Mozzarella cheese (500g);47;12;;;;;;;;;;;;;
Mushrooms;48;30;;;;;;;;;;;;;
Noodles (Pack of 12);49;42;;;;;;;;;;;;;
Oat Bran (5kg);50;4;;;;;;;;;;;;;
Olive oil (5L);51;27;;;;;;;;;;;;;
Onion (pack of 20);52;2;;;;;;;;;;;;;
Orange;53;21;;;;;;;;;;;;;
Orange juice (1L);54;3;;;;;;;;;;;;;
Organic honey (500g);55;6;;;;;;;;;;;;;
Oyster;56;73;;;;;;;;;;;;;
Passion fruit;57;21;;;;;;;;;;;;;
Pears;58;0;;;;;;;;;;;;;
Peas (can);59;7;;;;;;;;;;;;;
Pepproni (400g);60;5;;;;;;;;;;;;;
Pineapple;61;8;;;;;;;;;;;;;
Poha;62;0;;;;;;;;;;;;;
Popcorn (1kg);63;2;;;;;;;;;;;;;
Potatoes (10kg);64;3;;;;;;;;;;;;;
Prosciutto (500g);65;25;;;;;;;;;;;;;
Protein Powder (1kg);66;7;;;;;;;;;;;;;
Pumpkin;67;10;;;;;;;;;;;;;
Quninoa (500g);68;4;;;;;;;;;;;;;
Rabbit meat (1kg);69;8;;;;;;;;;;;;;
Rice Pudding (200g);70;3;;;;;;;;;;;;;
Salmon (5kg);71;6;;;;;;;;;;;;;
Salsa (250ml);72;35;;;;;;;;;;;;;
Shrimp (250g);73;8;;;;;;;;;;;;;
Sour cream (1L);74;2;;;;;;;;;;;;;
Strawberries (200g);75;62;;;;;;;;;;;;;
Strawberry Icecream (1L);76;5;;;;;;;;;;;;;
Sugar (1kg);77;12;;;;;;;;;;;;;
Sugar Doughnuts (Pack of 20);78;2;;;;;;;;;;;;;
Sweet Potatoes (5kg);79;30;;;;;;;;;;;;;
Sweetcorn (1kg);80;9;;;;;;;;;;;;;
Tomato (pack of 10);81;4;;;;;;;;;;;;;
Tomato puree (1L);82;7;;;;;;;;;;;;;
Tortilla chips (500kg);83;8;;;;;;;;;;;;;
Tuna Fish (5kg);84;1;;;;;;;;;;;;;
Turkey (5kg);85;1;;;;;;;;;;;;;
Uttapam Mix (500mg);86;2;;;;;;;;;;;;;
Vanilla Ice cream (1L);87;30;;;;;;;;;;;;;
White Rice (5kg);88;50;;;;;;;;;;;;;
Yogurt (1L);89;6;;;;;;;;;;;;;
